Rank,City,State,x,y
177,Paterson,New Jersey,-74.1628,40.9147
178,Bridgeport,Connecticut,-73.1957,41.1874
179,Naperville,Illinois,-88.1620,41.7492
180,Savannah,Georgia,-81.1536,32.0025
181,Mesquite,Texas,-96.5924,32.7639
182,Syracuse,New York,-76.1436,43.041
183,Pasadena,California,-118.1396,34.1606
184,Orange,California,-117.8249,33.8048
185,Fullerton,California,-117.9280,33.8857
186,Killeen,Texas,-97.7320,31.0777
187,Dayton,Ohio,-84.1996,39.7774
188,McAllen,Texas,-98.2461,26.2185
189,Bellevue,Washington,-122.1565,47.5978
190,Miramar,Florida,-80.3358,25.977
191,Hampton,Virginia,-76.2971,37.048
192,West Valley City,Utah,-112.0118,40.6885
193,Warren,Michigan,-83.0250,42.4929
194,Olathe,Kansas,-94.8188,38.8843
195,Columbia,South Carolina,-80.8966,34.0298
196,Thornton,Colorado,-104.9454,39.918
197,Carrollton,Texas,-96.8998,32.9884
198,Midland,Texas,-102.1097,32.0299
199,Charleston,South Carolina,-79.9589,32.8179
200,Waco,Texas,-97.1860,31.5601
201,Sterling Heights,Michigan,-83.0303,42.5812
202,Denton,Texas,-97.1417,33.2151
203,Cedar Rapids,Iowa,-91.6778,41.967
204,New Haven,Connecticut,-72.9250,41.3108
205,Roseville,California,-121.3032,38.7657
206,Gainesville,Florida,-82.3459,29.6788
207,Visalia,California,-119.3234,36.3272
208,Coral Springs,Florida,-80.2593,26.2708
209,Thousand Oaks,California,-118.8742,34.1933
210,Elizabeth,New Jersey,-74.1935,40.6663
211,Stamford,Connecticut,-73.5460,41.0799
212,Concord,California,-122.0016,37.9722
213,Surprise,Arizona,-112.4527,33.6706
214,Lafayette,Louisiana,-92.0314,30.2116
215,Topeka,Kansas,-95.6948,39.0362
216,Kent,Washington,-122.2169,47.3853
217,Simi Valley,California,-118.7485,34.2669
218,Santa Clara,California,-121.9679,37.3646
219,Murfreesboro,Tennessee,-86.4161,35.8522
220,Hartford,Connecticut,-72.6833,41.766
221,Athens,Georgia,-83.3701,33.9496
222,Victorville,California,-117.3536,34.5277
223,Abilene,Texas,-99.7381,32.4545
224,Vallejo,California,-122.2639,38.1079
225,Berkeley,California,-122.2991,37.8667
226,Norman,Oklahoma,-97.44,35.22
227,Allentown,Pennsylvania,-75.4782,40.594
228,Evansville,Indiana,-87.5347,37.9877
229,Columbia,Missouri,-92.3261,38.9479
230,Odessa,Texas,-102.3434,31.8804
231,Fargo,North Dakota,-96.8290,46.8652
232,Beaumont,Texas,-94.1458,30.0843
233,Independence,Missouri,-94.3513,39.0853
234,Ann Arbor,Michigan,-83.7313,42.2756
235,El Monte,California,-118.0291,34.0746
236,Springfield,Illinois,-89.6708,39.7639
237,Round Rock,Texas,-97.6674,30.5237
238,Wilmington,North Carolina,-77.8858,34.2092
239,Arvada,Colorado,-105.1066,39.8097
240,Provo,Utah,-111.6448,40.2453
241,Peoria,Illinois,-89.6171,40.7523
242,Lansing,Michigan,-84.5562,42.7098
243,Downey,California,-118.1309,33.9382
244,Carlsbad,California,-117.2828,33.1239
245,Costa Mesa,California,-117.9123,33.6659
246,Miami Gardens,Florida,-80.2436,25.9489
247,Westminster,Colorado,-105.0644,39.8822
248,Clearwater,Florida,-82.7663,27.9795
249,Fairfield,California,-122.0397,38.2568
250,Rochester,Minnesota,-92.4772,44.0154
251,Elgin,Illinois,-88.3217,42.0396
252,Temecula,California,-117.1246,33.5019
253,West Jordan,Utah,-112.0010,40.6023
254,Inglewood,California,-118.3443,33.9561
255,Richardson,Texas,-96.7081,32.9723
256,Lowell,Massachusetts,-71.3221,42.6389
257,Gresham,Oregon,-122.4416,45.5023
258,Antioch,California,-121.7976,37.9775
259,Cambridge,Massachusetts,-71.1183,42.376
260,High Point,North Carolina,-79.9902,35.9855
261,Billings,Montana,-108.5499,45.7895
262,Manchester,New Hampshire,-71.4439,42.9847
263,Murrieta,California,-117.1907,33.5719
264,Centennial,Colorado,-104.8691,39.5906
265,Richmond,California,-104.6124,38.2731
267,Pueblo,Colorado,-95.2958,29.5544
268,Pearland,Texas,-73.0367,41.5585
269,Waterbury,Connecticut,-117.9099,34.0559
270,West Covina,California,-80.0169,32.8853
271,North Charleston,South Carolina,-122.1742,48.0033
272,Everett,Washington,-96.3144,30.6013
273,College Station,Texas,-80.6626,27.9856
274,Palm Bay,Florida,-80.1290,26.2426
275,Pompano Beach,Florida,-105.2797,40.0175
276,Boulder,Colorado,-118.0834,33.9069
277,Norwalk,California,-80.1266,26.7483
278,West Palm Beach,Florida,-95.7810,36.0365
279,Broken Arrow,Oklahoma,-122.4650,37.7009
280,Daly City,California,-84.227,33.5615
281,Sandy Springs,Georgia,-118.3249,34.189
282,Burbank,California,-87.9842,44.5207
283,Green Bay,Wisconsin,-120.4438,34.9332
284,Santa Maria,California,-98.5259,33.9067
285,Wichita Falls,Texas,-81.9589,28.0411
286,Lakeland,Florida,-119.4211,36.4931
287,Clovis,California,-97.0061,33.0383
288,Lewisville,Texas,-95.30,32.35
289,Tyler,Texas,-116.9605,32.8017
290,El Cajon,California,-122.3131,37.5542
291,San Mateo,California,-117.3883,34.1118
292,Rialto,California,-74.3494,40.504
293,Edison,New Jersey,-90.6040,41.5541
294,Davenport,Iowa,-122.9833,45.5167
295,Hillsboro,Oregon,-74.2926,40.5608
296,Woodbridge,New Jersey,-106.7653,32.3197
297,Las Cruces,New Mexico,-86.2690,41.6769
298,South Bend,Indiana,-117.2411,33.1936
299,Vista,California,-104.7167,40.4167
300,Greeley,Colorado,-80.2803,26.0814
301,Davie,Florida,-100.45,31.45
302,San Angelo,Texas,-117.4706,33.0011
303,Jurupa Valley,California,-122.1953,47.4867
304,Renton,Washington,-122.3594,37.953
